date,Italy,US,Spain,Germany,India,"Korea, South",China,Brazil,United Kingdom
2020-01-22,0,1,0,0,0,1,548,0,0
2020-01-23,0,1,0,0,0,1,643,0,0
2020-01-24,0,2,0,0,0,2,920,0,0
2020-01-25,0,2,0,0,0,2,1406,0,0
2020-01-26,0,5,0,0,0,3,2075,0,0
2020-01-27,0,5,0,1,0,4,2877,0,0
2020-01-28,0,5,0,4,0,4,5509,0,0
2020-01-29,0,5,0,4,0,4,6087,0,0
2020-01-30,0,5,0,4,1,4,8141,0,0
2020-01-31,2,7,0,5,1,11,9802,0,2
2020-02-01,2,8,1,8,1,12,11891,0,2
2020-02-02,2,8,1,10,2,15,16630,0,2
2020-02-03,2,11,1,12,3,15,19716,0,2
2020-02-04,2,11,1,12,3,16,23707,0,2
2020-02-05,2,11,1,12,3,19,27440,0,2
2020-02-06,2,11,1,12,3,23,30587,0,2
2020-02-07,3,11,1,13,3,24,34110,0,3
2020-02-08,3,11,1,13,3,24,36814,0,3
2020-02-09,3,11,2,14,3,25,39829,0,3
2020-02-10,3,11,2,14,3,27,42354,0,8
2020-02-11,3,12,2,16,3,28,44386,0,8
2020-02-12,3,12,2,16,3,28,44759,0,9
2020-02-13,3,13,2,16,3,28,59895,0,9
2020-02-14,3,13,2,16,3,28,66358,0,9
2020-02-15,3,13,2,16,3,28,68413,0,9
2020-02-16,3,13,2,16,3,29,70513,0,9
2020-02-17,3,13,2,16,3,30,72434,0,9
2020-02-18,3,13,2,16,3,31,74211,0,9
2020-02-19,3,13,2,16,3,31,74619,0,9
2020-02-20,3,13,2,16,3,104,75077,0,9
2020-02-21,20,15,2,16,3,204,75550,0,9
2020-02-22,62,15,2,16,3,433,77001,0,9
2020-02-23,155,15,2,16,3,602,77022,0,9
2020-02-24,229,15,2,16,3,833,77241,0,13
2020-02-25,322,15,6,17,3,977,77754,0,13
2020-02-26,453,15,13,27,3,1261,78166,1,13
2020-02-27,655,16,15,46,3,1766,78600,1,15
