date,state,country,confirmed
2020-01-22,Alberta,Canada,0.0
2020-01-22,Anguilla,United Kingdom,0.0
2020-01-22,Anhui,China,1.0
2020-01-22,Aruba,Netherlands,0.0
2020-01-22,Australian Capital Territory,Australia,0.0
2020-01-22,Beijing,China,14.0
2020-01-22,Bermuda,United Kingdom,0.0
2020-01-22,"Bonaire, Sint Eustatius and Saba",Netherlands,0.0
2020-01-22,British Columbia,Canada,0.0
2020-01-22,British Virgin Islands,United Kingdom,0.0
2020-01-22,Cayman Islands,United Kingdom,0.0
2020-01-22,Channel Islands,United Kingdom,0.0
2020-01-22,Chongqing,China,6.0
2020-01-22,Curacao,Netherlands,0.0
2020-01-22,Diamond Princess,Canada,0.0
2020-01-22,Falkland Islands (Malvinas),United Kingdom,0.0
2020-01-22,Faroe Islands,Denmark,0.0
2020-01-22,French Guiana,France,0.0
2020-01-22,French Polynesia,France,0.0
2020-01-22,Fujian,China,1.0
2020-01-22,Gansu,China,0.0
2020-01-22,Gibraltar,United Kingdom,0.0
2020-01-22,Grand Princess,Canada,0.0
2020-01-22,Greenland,Denmark,0.0
2020-01-22,Guadeloupe,France,0.0
2020-01-22,Guangdong,China,26.0
2020-01-22,Guangxi,China,2.0
2020-01-22,Guizhou,China,1.0
2020-01-22,Hainan,China,4.0
2020-01-22,Hebei,China,1.0
2020-01-22,Heilongjiang,China,0.0
2020-01-22,Henan,China,5.0
2020-01-22,Hong Kong,China,0.0
2020-01-22,Hubei,China,444.0
2020-01-22,Hunan,China,4.0
2020-01-22,Inner Mongolia,China,0.0
2020-01-22,Isle of Man,United Kingdom,0.0
2020-01-22,Jiangsu,China,1.0
2020-01-22,Jiangxi,China,2.0
2020-01-22,Jilin,China,0.0
2020-01-22,Liaoning,China,2.0
2020-01-22,Macau,China,1.0
2020-01-22,Manitoba,Canada,0.0
2020-01-22,Martinique,France,0.0
2020-01-22,Mayotte,France,0.0
2020-01-22,Montserrat,United Kingdom,0.0
2020-01-22,New Brunswick,Canada,0.0
2020-01-22,New Caledonia,France,0.0
2020-01-22,New South Wales,Australia,0.0
2020-01-22,Newfoundland and Labrador,Canada,0.0
2020-01-22,Ningxia,China,1.0
2020-01-22,Northern Territory,Australia,0.0
