doubling every two days,doubling every 4 days,doubling every 10 days,Italy,US,Spain,Germany,India,"Korea, South",China,Brazil,United Kingdom,date
100.0,100.0,100.0,155.0,104.0,120.0,130.0,102.0,104.0,548.0,151.0,116.0,0
141.4213562373095,118.9207115002721,107.17734625362931,229.0,174.0,165.0,159.0,113.0,204.0,643.0,151.0,164.0,1
200.0,141.4213562373095,114.86983549970351,322.0,222.0,222.0,196.0,119.0,433.0,920.0,162.0,207.0,2
282.842712474619,168.1792830507429,123.11444133449163,453.0,337.0,259.0,262.0,142.0,602.0,1406.0,200.0,274.0,3
400.0,200.0,131.9507910772894,655.0,451.0,400.0,482.0,156.0,833.0,2075.0,321.0,322.0,4
565.685424949238,237.8414230005442,141.4213562373095,888.0,519.0,500.0,670.0,194.0,977.0,2877.0,372.0,384.0,5
800.0,282.842712474619,151.5716566510398,1128.0,711.0,673.0,799.0,244.0,1261.0,5509.0,621.0,459.0,6
1131.370849898476,336.3585661014858,162.4504792712471,1694.0,1109.0,1073.0,1040.0,330.0,1766.0,6087.0,793.0,459.0,7
1600.0,400.0,174.11011265922482,2036.0,1561.0,1695.0,1176.0,396.0,2337.0,8141.0,1021.0,802.0,8
2262.741699796952,475.6828460010884,186.60659830736148,2502.0,2157.0,2277.0,1457.0,499.0,3150.0,9802.0,1546.0,1144.0,9
3200.0,565.685424949238,200.0,3089.0,2870.0,2277.0,1908.0,536.0,3736.0,11891.0,1924.0,1145.0,10
4525.483399593904,672.7171322029716,214.35469250725862,3858.0,2968.0,5232.0,2078.0,657.0,4335.0,16630.0,2247.0,1551.0,11
6400.0,800.0,229.73967099940697,4636.0,4360.0,6391.0,3675.0,727.0,5186.0,19716.0,2554.0,1960.0,12
9050.966799187809,951.3656920021768,246.22888266898326,5883.0,6141.0,7798.0,4585.0,887.0,5621.0,23707.0,2985.0,2642.0,13
12800.0,1131.370849898476,263.9015821545788,7375.0,8914.0,9942.0,5795.0,987.0,6088.0,27440.0,3417.0,2716.0,14
18101.933598375617,1345.4342644059432,282.842712474619,9172.0,14153.0,11748.0,7272.0,1024.0,6593.0,30587.0,3904.0,4014.0,15
25600.0,1600.0,303.14331330207966,10149.0,19479.0,13910.0,9257.0,1251.0,7041.0,34110.0,4256.0,5067.0,16
36203.867196751235,1902.7313840043537,324.9009585424942,12462.0,25818.0,17963.0,12327.0,1397.0,7314.0,36814.0,4579.0,5745.0,17
51200.0,2262.741699796952,348.22022531844965,15113.0,33756.0,20410.0,15320.0,1998.0,7478.0,39829.0,5717.0,6726.0,18
72407.73439350247,2690.8685288118863,373.21319661472296,17660.0,43845.0,25374.0,19848.0,2543.0,7513.0,42354.0,6836.0,8164.0,19
,,,21157.0,54108.0,28768.0,22213.0,2567.0,7755.0,44386.0,8044.0,9640.0,20
,,,24747.0,66044.0,35136.0,24873.0,3082.0,7869.0,44759.0,9056.0,11812.0,21
,,,27980.0,84080.0,39885.0,29056.0,3588.0,7979.0,59895.0,10360.0,14745.0,22
,,,31506.0,102254.0,49515.0,32986.0,4778.0,8086.0,66358.0,11130.0,17312.0,23
,,,35713.0,122054.0,57786.0,37323.0,5311.0,8162.0,68413.0,12161.0,19780.0,24
,,,41035.0,141194.0,65719.0,43938.0,5916.0,8236.0,70513.0,14034.0,22453.0,25
,,,47021.0,162690.0,73235.0,50871.0,6725.0,8320.0,72434.0,16170.0,25481.0,26
,,,53578.0,188701.0,80110.0,57695.0,7598.0,8413.0,74211.0,18092.0,29865.0,27
,,,59138.0,214194.0,87956.0,62095.0,8446.0,8565.0,74619.0,19638.0,34173.0,28
,,,63927.0,244593.0,95923.0,66885.0,9205.0,8652.0,75077.0,20727.0,38689.0,29
,,,69176.0,276535.0,104118.0,71808.0,10453.0,8799.0,75550.0,22192.0,42477.0,30
,,,74386.0,309699.0,112065.0,77872.0,11487.0,8961.0,77001.0,23430.0,48436.0,31
,,,80589.0,337573.0,119199.0,84794.0,12322.0,8961.0,77022.0,25262.0,52279.0,32
,,,86498.0,367210.0,126168.0,91159.0,13430.0,9037.0,77241.0,28320.0,55949.0,33
,,,92472.0,397992.0,131646.0,96092.0,14352.0,9137.0,77754.0,30425.0,61474.0,34
,,,97689.0,429686.0,136675.0,100123.0,15722.0,9241.0,78166.0,33682.0,65872.0,35
,,,101739.0,464442.0,141942.0,103374.0,17615.0,9332.0,78600.0,36658.0,74605.0,36
,,,105792.0,497943.0,148220.0,107663.0,18539.0,9478.0,78928.0,38654.0,79874.0,37
,,,110574.0,527958.0,153222.0,113296.0,20080.0,9583.0,79356.0,40743.0,85206.0,38
,,,115242.0,556517.0,158273.0,118181.0,21370.0,9661.0,79932.0,43079.0,89570.0,39
,,,119827.0,581810.0,163027.0,122171.0,23077.0,9786.0,80136.0,45757.0,94845.0,40
,,,124632.0,608845.0,166831.0,124908.0,24530.0,9887.0,80261.0,50036.0,99483.0,41
,,,128948.0,637974.0,170099.0,127854.0,26283.0,9976.0,80386.0,54043.0,104145.0,42
,,,132547.0,669272.0,172541.0,130072.0,27890.0,10062.0,80537.0,59324.0,109769.0,43
,,,135586.0,701996.0,177644.0,131359.0,29451.0,10156.0,80690.0,63100.0,115314.0,44
,,,139422.0,730317.0,184948.0,134753.0,31324.0,10237.0,80770.0,67446.0,121172.0,45
,,,143626.0,756375.0,190839.0,137698.0,33062.0,10284.0,80823.0,73235.0,125856.0,46
,,,147577.0,783716.0,191726.0,141397.0,34863.0,10331.0,80860.0,79685.0,130172.0,47
,,,152271.0,809213.0,198674.0,143342.0,37257.0,10384.0,80887.0,87187.0,134638.0,48
,,,156363.0,837414.0,200210.0,145184.0,39699.0,10423.0,80921.0,92202.0,139246.0,49
,,,159516.0,871617.0,204178.0,147065.0,42505.0,10450.0,80932.0,97100.0,144640.0,50
,,,162488.0,907908.0,208389.0,148291.0,46437.0,10480.0,80945.0,101826.0,149569.0,51
,,,165155.0,940829.0,213024.0,150648.0,49400.0,10512.0,80977.0,108620.0,154037.0,52
,,,168941.0,968517.0,202990.0,153129.0,52987.0,10537.0,81003.0,115455.0,158348.0,53
,,,172434.0,990993.0,205905.0,154999.0,56351.0,10564.0,81033.0,126611.0,162350.0,54
,,,175925.0,1015518.0,207634.0,156513.0,59695.0,10591.0,81058.0,135773.0,166441.0,55
,,,178972.0,1042926.0,209465.0,157770.0,62808.0,10613.0,81102.0,146894.0,172481.0,56
,,,181228.0,1072667.0,210773.0,158758.0,67161.0,10635.0,81156.0,156061.0,178685.0,57
,,,183957.0,1106829.0,212917.0,159912.0,70768.0,10653.0,81250.0,162699.0,183500.0,58
,,,187327.0,1136024.0,213435.0,161539.0,74292.0,10661.0,81305.0,169594.0,187842.0,59
,,,189973.0,1161611.0,215216.0,163009.0,78055.0,10674.0,81435.0,178214.0,191832.0,60
,,,192994.0,1184086.0,216582.0,164077.0,81997.0,10683.0,81498.0,190137.0,196243.0,61
,,,195351.0,1208271.0,217466.0,164967.0,85784.0,10694.0,81591.0,203165.0,202359.0,62
,,,197675.0,1233527.0,218011.0,165664.0,90648.0,10708.0,81661.0,220291.0,207977.0,63
,,,199414.0,1261409.0,219329.0,166152.0,95698.0,10718.0,81782.0,233511.0,212629.0,64
,,,201505.0,1288566.0,220325.0,167007.0,100328.0,10728.0,81897.0,241080.0,216525.0,65
,,,203591.0,1314306.0,221447.0,168162.0,106475.0,10738.0,81999.0,255368.0,220449.0,66
,,,205463.0,1334084.0,222857.0,169430.0,112028.0,10752.0,82122.0,271885.0,224332.0,67
,,,207428.0,1352962.0,223578.0,170588.0,118226.0,10761.0,82198.0,291579.0,227741.0,68
,,,209328.0,1374914.0,224350.0,171324.0,124794.0,10765.0,82279.0,310087.0,230985.0,69
,,,210717.0,1396109.0,227436.0,171879.0,131423.0,10774.0,82361.0,330890.0,234440.0,70
,,,211938.0,1423726.0,228030.0,172576.0,138536.0,10780.0,82432.0,347398.0,238004.0,71
